title,url,channel,domain,watched,extracted,notes,description
الدحيح | الزومبي.. الوحوش التي تعلمنا كيف نبقى أحياء,https://www.youtube.com/watch?v=VWo4oRWT3eU,aj_kabrit,,,,,
الدحيح | بلاك ووتر.. كيف تحولت الحرب إلى تجارة؟,https://www.youtube.com/watch?v=CJoPSoI2vdM,aj_kabrit,,,,,
الدحيح | كيف غيّر الزجاج العالم؟,https://www.youtube.com/watch?v=TMLRF0zWLfE,aj_kabrit,,,,,
الدحيح | كيف شارك المسلمون في بناء الولايات المتحدة الامريكية؟,https://www.youtube.com/watch?v=46zCcun60TQ,aj_kabrit,,,,,
الدحيح | السرطان.. أقدم مرض في التاريخ,https://www.youtube.com/watch?v=4X-OmBthhgU,aj_kabrit,,,,,
الدحيح | غسيل الأموال.. سرطان يفتك باقتصاد العالم,https://www.youtube.com/watch?v=e4jG8FiPfVc,aj_kabrit,,,,,
الدحيح | سؤال بـ 64 دولار حوّل أمريكا إلى محكمة تفتيش,https://www.youtube.com/watch?v=HpR2pAM713U,aj_kabrit,,,,,. 1947 . . : .
الدحيح | ريتشارد سورغ.. الجاسوس الذي صنع التاريخ,https://www.youtube.com/watch?v=2pyzFvZLuGA,aj_kabrit,,,,,
"الدحيح | القتل بسبب الرفض.. عندما تكون ""لا"" معناها الموت!",https://www.youtube.com/watch?v=dRKI26JfSf4,aj_kabrit,,,,,
الدحيح | قرن الإذلال الصيني,https://www.youtube.com/watch?v=7IfON4fF1OQ,aj_kabrit,,,,,
الدحيح | لماذا لا نستطيع الهروب من فيسبوك؟,https://www.youtube.com/watch?v=R7f5uoylrS8,aj_kabrit,,,,,
الدحيح | ماذا لو انتصر النازيون في الحرب العالمية الثانية؟,https://www.youtube.com/watch?v=DQkCIxnkOyk,aj_kabrit,,,,,
الدحيح | سمعته تسبقه.. ملك الغابة بين الرمز والحقيقة,https://www.youtube.com/watch?v=mHpAqi7OssU,aj_kabrit,,,,,30 .
الدحيح | هل الصمت التام راحة؟,https://www.youtube.com/watch?v=fAd2nKfrDB8,aj_kabrit,,,,,
الدحيح | كيف بدأ العد؟,https://www.youtube.com/watch?v=ajkuJMuff30,aj_kabrit,,,,,
الدحيح | النازي والطبيب.. الشر في مُحاكمة نفسية,https://www.youtube.com/watch?v=bUXgtEkvHTQ,aj_kabrit,,,,,
الدحيح | تايلور سويفت.. كيف تحول الفن لسلعة؟,https://www.youtube.com/watch?v=ahPSHLEVsUE,aj_kabrit,,,,,
الدحيح | أبطأ كائن وأطول نفس,https://www.youtube.com/watch?v=fuiEIrJUIZc,aj_kabrit,,,,,
الدحيح | إسبرطة.. كيف لجيش أن يصنع مجتمع وأمة؟,https://www.youtube.com/watch?v=LiyObO4EUWM,aj_kabrit,,,,,
الدحيح | كيف تتفاوض مع طفلك؟ إليك الدليل الكامل,https://www.youtube.com/watch?v=PYTNW_1-fPk,aj_kabrit,,,,,
الدحيح - ناطحات سحاب,https://www.youtube.com/watch?v=SPYG5Dt__pY,aj_kabrit,,,,,
الدحيح - القولون,https://www.youtube.com/watch?v=jmJxRrqZPJU,aj_kabrit,,,,,
الدحيح - 100 مليون سنة أكل,https://www.youtube.com/watch?v=cz1CcW9CaLI,aj_kabrit,,,,,
الدحيح - كيف تصنع الترند؟,https://www.youtube.com/watch?v=SPjOesmRBK4,aj_kabrit,,,,,
الدحيح - البزنس الذكي,https://www.youtube.com/watch?v=EDEkqDe-MF8,aj_kabrit,,,,,
الدحيح - الرجل العنكبوت,https://www.youtube.com/watch?v=AGJ4Xm7PyhU,aj_kabrit,,,,,
الدحيح - الإنفلونزا الإسبانية,https://www.youtube.com/watch?v=Eq2ONmBX9yo,aj_kabrit,,,,,
الدحيح - الهبد,https://www.youtube.com/watch?v=AwlKoRY_76U,aj_kabrit,,,,,
الدحيح - شوربة الخفافيش,https://www.youtube.com/watch?v=Hu89bW1_QMI,aj_kabrit,,,,,
الدحيح - تيك توك,https://www.youtube.com/watch?v=o-vXOZzyqVc,aj_kabrit,,,,,
الدحيح - كلما يقل يكثر,https://www.youtube.com/watch?v=-agh_oZxaoE,aj_kabrit,,,,,
الدحيح - أبوك كل بالليل,https://www.youtube.com/watch?v=iTaQIhEJXtU,aj_kabrit,,,,,
الدحيح - الصيام,https://www.youtube.com/watch?v=lgDR_6xD1KY,aj_kabrit,,,,,
الدحيح - التعاطف,https://www.youtube.com/watch?v=jJ3UNIMSMxI,aj_kabrit,,,,,
الدحيح - 3.14159,https://www.youtube.com/watch?v=OuiO0hce2QE,aj_kabrit,,,,,
الدحيح - إخوات في الرضاعة,https://www.youtube.com/watch?v=OUa3uhxG0c0,aj_kabrit,,,,,
الدحيح - كرة القدم الأمريكية,https://www.youtube.com/watch?v=nDv408Zl84c,aj_kabrit,,,,,
الدحيح - الدحيح كوميدي,https://www.youtube.com/watch?v=975UwPgUkNw,aj_kabrit,,,,,
الدحيح - التدخين والسرطان,https://www.youtube.com/watch?v=8ONyl5wXyVY,aj_kabrit,,,,,
الدحيح - هزت عرش العلم,https://www.youtube.com/watch?v=N-QJlHPAYDE,aj_kabrit,,,,,
الدحيح - الحياة في زمن الكورونا,https://www.youtube.com/watch?v=ipUznKIhHrg,aj_kabrit,,,,,
الدحيح - جائحة كورونا,https://www.youtube.com/watch?v=I0h3onMey-4,aj_kabrit,,,,,
الدحيح - أسوأ أم,https://www.youtube.com/watch?v=MhGIO7w3a9U,aj_kabrit,,,,,
الدحيح - لازم نسيب بعض,https://www.youtube.com/watch?v=8mQ-v11SeRM,aj_kabrit,,,,,
الدحيح - أخناتون,https://www.youtube.com/watch?v=PU4Nq-5Q1Sc,aj_kabrit,,,,,
الدحيح - كورونا (كوفيد-19),https://www.youtube.com/watch?v=mawje1RAKOw,aj_kabrit,,,,,
الدحيح - الرياضيات المحرمة,https://www.youtube.com/watch?v=Qyvtcpw8NwI,aj_kabrit,,,,,
الدحيح - حلقة مش وحشة,https://www.youtube.com/watch?v=J_s1LtMd2zY,aj_kabrit,,,,,
الدحيح - روبين ويليامز,https://www.youtube.com/watch?v=hKDxUuSfw9Q,aj_kabrit,,,,,
الدحيح - شبابيك اللغة,https://www.youtube.com/watch?v=5Tf22l6szhg,aj_kabrit,,,,,
الدحيح - الشتاء قادم,https://www.youtube.com/watch?v=Jp_Y5P8Qpus,aj_kabrit,,,,,
الدحيح - من خاف سلم,https://www.youtube.com/watch?v=UNbXsGSJpbs,aj_kabrit,,,,,
الدحيح - أشهر لوحة في العالم,https://www.youtube.com/watch?v=-X7dsuOPKtg,aj_kabrit,,,,,
الدحيح - الرقاقة الخطيرة,https://www.youtube.com/watch?v=LcyTafn0f2s,aj_kabrit,,,,,
الدحيح - العلاج بالصلصة,https://www.youtube.com/watch?v=YXgbDFPRGjc,aj_kabrit,,,,,
الدحيح - كيف يتعلم الأطباء؟,https://www.youtube.com/watch?v=UBUnXo1exBU,aj_kabrit,,,,,
الدحيح - قانون بنفورد,https://www.youtube.com/watch?v=YVk8olC0fmw,aj_kabrit,,,,,
الدحيح - موزاليزا,https://www.youtube.com/watch?v=uZL3018Y5Tk,aj_kabrit,,,,,
الدحيح - الحبة الزرقاء,https://www.youtube.com/watch?v=VKGgzzJ4dK0,aj_kabrit,,,,,
الدحيح - الأسطول الأصفر,https://www.youtube.com/watch?v=wG4-nSUXMUM,aj_kabrit,,,,,
الدحيح - البقاء,https://www.youtube.com/watch?v=XLEhRU1wlg4,aj_kabrit,,,,,
الدحيح - الرفض,https://www.youtube.com/watch?v=12LBGRT2cho,aj_kabrit,,,,,
الدحيح - الصلع,https://www.youtube.com/watch?v=DC4v9B0urGg,aj_kabrit,,,,,
الدحيح - ثقوب ما لهاش لازمة,https://www.youtube.com/watch?v=gPl0CSEpRg8,aj_kabrit,,,,,
الدحيح - اللانهائية,https://www.youtube.com/watch?v=sP3ilRaSPvM,aj_kabrit,,,,,
الدحيح - هدنة عيد الميلاد,https://www.youtube.com/watch?v=Negh_LoRmIo,aj_kabrit,,,,,
الدحيح - مديرون أشرار,https://www.youtube.com/watch?v=VRPcciuIMb8,aj_kabrit,,,,,
الدحيح - فلوس الأغنياء,https://www.youtube.com/watch?v=DXmDxlKWHYo,aj_kabrit,,,,,
الدحيح - الحرب العالمية الأولى,https://www.youtube.com/watch?v=saYVbgdn3VU,aj_kabrit,,,,,
الدحيح - أهم تاكسي في التاريخ,https://www.youtube.com/watch?v=q1fXIbe5s7s,aj_kabrit,,,,,
الدحيح - صعود أوبر,https://www.youtube.com/watch?v=PNkchH_EFec,aj_kabrit,,,,,
الدحيح - لازم تنام,https://www.youtube.com/watch?v=H5pTxwNoYb8,aj_kabrit,,,,,
