video_id,title,url,channel,duration_seconds,duration_string,view_count,publish_date,playlist_id,playlist_title,thumbnail_url,content_type,availability,live_status,description,refs_hint,primary_category,secondary_categories,classification_confidence,classification_rationale,classification_model,classification_prompt_version,classified_at,audit_status,audit_reviewer,audit_notes,audit_timestamp,proposed_categories
SP0AgLcrgdk,هل الرياضيات افكار مجردة او موجودة في نسيج الكون؟ [328],https://www.youtube.com/watch?v=SP0AgLcrgdk,of_science_and_superstition,503,8:23,18000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/SP0AgLcrgdk/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwy3mbpP-28EYHt6OCwu_5lFtLdg,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
U_iebiluTRQ,سياسة البلطجة العالمية [327],https://www.youtube.com/watch?v=U_iebiluTRQ,of_science_and_superstition,363,6:03,7000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/U_iebiluTRQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1nfreAIKp32b9sGMuFPLNGwz4LA,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
P-iRW_1N9vE,هل ينتج المنطق الفلسفي معرفة في الواقع؟ [326],https://www.youtube.com/watch?v=P-iRW_1N9vE,of_science_and_superstition,437,7:17,6600,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/P-iRW_1N9vE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwWjBvQ-mD3SwARyQNTXEldm3Ssg,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
xtHJJLU2BrY,ما هي المشكلة في فكرة التنظيم الدقيق للكون؟ [323],https://www.youtube.com/watch?v=xtHJJLU2BrY,of_science_and_superstition,412,6:52,22000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/xtHJJLU2BrY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0cj7O0Zbl-vi9dyD1Ibpg6OT4ng,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
vI3G9x0s404,الموديلات الهيكلية في الدماغ [322],https://www.youtube.com/watch?v=vI3G9x0s404,of_science_and_superstition,660,11:00,7300,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/vI3G9x0s404/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB48hIxH6hYt60eEo1-8ACSYKTDvw,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
tQzzDkhhMTU,Reading Comments - 14 [320],https://www.youtube.com/watch?v=tQzzDkhhMTU,of_science_and_superstition,1693,28:13,10000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/tQzzDkhhMTU/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhJIEUocjAP&rs=AOn4CLA6DzA9hNpgFyhSXjRKB-2WkO5gPw,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
nsjfYhvFJlA,دور جزئ “ر ن ا“ في صنع بروتين الخلايا الحية [314],https://www.youtube.com/watch?v=nsjfYhvFJlA,of_science_and_superstition,639,10:39,5600,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/nsjfYhvFJlA/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOON6H_pLwSb_GOhKaQQzlS7OBcQ,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
KOgLFiMxR0E,لقاء في حوارات مريم حول وهم الإرادة [313],https://www.youtube.com/watch?v=KOgLFiMxR0E,of_science_and_superstition,4872,1:21:12,14000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/KOgLFiMxR0E/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAaAvIql36cU15Ii9NP1ZJHMrrjXg,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
VBmZyELOzf8,What’s the Problem with the Flat Earth Theory? [311],https://www.youtube.com/watch?v=VBmZyELOzf8,of_science_and_superstition,289,4:49,12000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/VBmZyELOzf8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhgDMYQDQirZ9xaeIOQV5ybdT3_w,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
2Rb6t_eHXxQ,لماذا كلنا منافقين؟ [310],https://www.youtube.com/watch?v=2Rb6t_eHXxQ,of_science_and_superstition,773,12:53,60000,2026-09-10T01:22:12,UCGbERG1PdZe8qxWQg5QttWA,بين العلم و الخرافة  Of Science and Superstition - Videos,https://i.ytimg.com/vi/2Rb6t_eHXxQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDulg8j93VclcHRTEkkgHZORgrsA,video,,,,,عام / متنوع,,0.0,,,,,pending,,,,
